"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","campaign","model"
"1","(Intercept)",2.42382939622113,0.00520009784741691,170.256158751531,0,2.39926841061807,2.44867712359692,"a_2023","fit_agr"
"2","age_group65-74",0.561644777020434,0.00652685517204774,-88.3864714445874,0,0.554503511008215,0.568873439629921,"a_2023","fit_agr"
"3","age_group85-94",0.730426079911622,0.0101452707701286,-30.9629236237368,1.70221043901327e-210,0.716051197549635,0.745101585715442,"a_2023","fit_agr"
"4","age_group>=95",0.53569219046205,0.0314248327599184,-19.8631305109301,8.48530632173629e-88,0.503730419099825,0.56977035018436,"a_2023","fit_agr"
"5","age_group<=34",0.21613229457198,0.0598955669858158,-25.5755920012686,2.85150657749014e-144,0.192049855095695,0.242890270858577,"a_2023","fit_agr"
"6","age_group35-44",0.219532815540321,0.0516585866720552,-29.3514332078832,2.29097332544544e-189,0.198287639782806,0.242805373393876,"a_2023","fit_agr"
"7","age_group45-54",0.299224367164525,0.0361381414578035,-33.3874833200509,2.08313496917599e-244,0.278725972323322,0.321148018928342,"a_2023","fit_agr"
"8","age_group55-64",0.393566894759524,0.0260327362803755,-35.8204460776188,5.30762508484977e-281,0.37398497909165,0.414166061962194,"a_2023","fit_agr"
"9","(Intercept)",2.31060255457927,0.0058242995997711,143.795545251551,0,2.28439152426975,2.33714614654677,"a_2023","fit_agr_sex"
"10","age_group65-74",0.55993991808824,0.00653157000911081,-88.788115158843,0,0.552815208331619,0.567151866662259,"a_2023","fit_agr_sex"
"11","age_group85-94",0.735620466266414,0.0101554776861303,-30.2340247874508,8.46234206828405e-201,0.721128951989991,0.750415369663498,"a_2023","fit_agr_sex"
"12","age_group>=95",0.546558240204644,0.0314520566274063,-19.2074691569409,3.20515004798099e-82,0.51392072279159,0.581358643589743,"a_2023","fit_agr_sex"
"13","age_group<=34",0.21578776476084,0.0599144912802538,-25.5941407850009,1.77279346737697e-144,0.191736688833631,0.242512178077255,"a_2023","fit_agr_sex"
"14","age_group35-44",0.221367707535333,0.0516755316098325,-29.1807375391561,3.404913739082e-187,0.199938398927462,0.244843000533305,"a_2023","fit_agr_sex"
"15","age_group45-54",0.301817281149717,0.0361522178925224,-33.135822470928,9.06414936721243e-241,0.281133546437855,0.323939894860043,"a_2023","fit_agr_sex"
"16","age_group55-64",0.394501075740012,0.0260417490636128,-35.7170100051164,2.15251805179859e-279,0.374866065847284,0.415156478116895,"a_2023","fit_agr_sex"
"17","sexMale",1.11132550361862,0.00585199479591047,18.03717432819,9.9503353338871e-73,1.09865261982622,1.1241463644188,"a_2023","fit_agr_sex"
"18","(Intercept)",2.42663771621952,0.00669328892342547,132.447090433728,0,2.39502844885424,2.45869907707987,"a_2023","fit_agr_sex_eth"
"19","age_group65-74",0.560174343759591,0.00653613376465185,-88.662080127155,0,0.553041705380414,0.567394388115637,"a_2023","fit_agr_sex_eth"
"20","age_group85-94",0.737363864254871,0.0101611358817287,-29.9842263890844,1.5758191471815e-197,0.722829996259566,0.752202180031048,"a_2023","fit_agr_sex_eth"
"21","age_group>=95",0.549774380910243,0.0314677882256468,-19.0114188246852,1.37191223464087e-80,0.516928900525857,0.584797615797632,"a_2023","fit_agr_sex_eth"
"22","age_group<=34",0.216317189077471,0.0599757672686038,-25.5271345447691,9.85414579935747e-144,0.192184517312289,0.243136972159159,"a_2023","fit_agr_sex_eth"
"23","age_group35-44",0.222122462838274,0.0517451834821624,-29.0756803542148,7.28895664899059e-186,0.200593204858591,0.245711930422039,"a_2023","fit_agr_sex_eth"
"24","age_group45-54",0.302617328165349,0.0362010276847777,-33.0180188643961,4.47851891228844e-239,0.281852062238735,0.324829948000659,"a_2023","fit_agr_sex_eth"
