"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2000-12-30,1,"None",5
2002-12-30,1,"None",5
2009-12-20,1,"None",5
2010-09-11,1,"None",5
2012-01-05,1,"None",5
2012-01-11,1,"None",5
2012-02-06,1,"None",5
2012-02-25,1,"None",5
2012-12-18,1,"None",5
2012-12-23,1,"None",5
2014-04-24,1,"None",5
2016-04-16,1,"None",5
2016-10-16,1,"None",5
2017-02-03,1,"None",5
2017-07-02,1,"None",5
2019-10-14,1,"None",5
2019-10-19,1,"None",5
2019-11-12,1,"None",5
2020-01-01,1,"None",5
2020-01-02,1,"None",5
2020-01-05,1,"None",5
2020-01-06,1,"None",5
2020-01-07,1,"None",5
2020-01-08,1,"None",5
2020-01-12,1,"None",5
2020-01-14,1,"None",5
2020-01-16,1,"None",5
2020-01-17,1,"None",5
2020-01-19,1,"None",5
2020-01-21,1,"None",5
2020-01-25,1,"None",5
2020-01-26,1,"None",5
2020-01-27,1,"None",6
2020-01-28,1,"None",5
2020-01-29,1,"None",6
2020-01-30,1,"None",5
2020-01-31,1,"None",5
2020-02-01,1,"None",5
2020-02-03,1,"None",5
2020-02-05,1,"None",5
2020-02-06,1,"None",5
2020-02-08,1,"None",5
2020-02-14,1,"None",5
2020-02-15,1,"None",5
2020-02-18,1,"None",5
2020-02-21,1,"None",5
2020-02-24,1,"None",5
2020-02-25,1,"None",5
2020-02-27,1,"None",5
2020-02-28,1,"None",5
2020-03-01,1,"None",5
2020-03-02,1,"None",5
2020-03-03,1,"None",5
2020-03-04,1,"None",5
2020-03-17,1,"None",5
2020-03-18,1,"None",5
2020-03-22,1,"None",5
2020-03-25,2,"None",5
2020-03-27,1,"None",5
2020-04-02,1,"None",5
2020-04-10,1,"None",5
2020-04-14,1,"None",5
2020-05-01,1,"None",5
2020-05-03,1,"None",5
2020-05-23,2,"None",5
2020-06-01,1,"None",12
2020-06-02,1,"None",18
2020-06-03,1,"None",20
2020-06-04,1,"None",20
2020-06-05,1,"None",17
2020-06-06,1,"None",5
2020-06-10,1,"None",11
2020-06-11,1,"None",9
2020-06-12,1,"None",7
2020-06-13,1,"None",5
2020-06-17,1,"None",5
2020-06-18,1,"None",5
2020-06-22,1,"None",7
2020-06-23,1,"None",11
2020-06-24,1,"None",5
2020-06-25,1,"None",7
2020-06-26,1,"None",14
2020-06-30,1,"None",5
2020-06-30,2,"None",5
2020-07-05,1,"None",5
2020-08-18,1,"None",5
2020-08-18,2,"None",5
2020-08-21,2,"None",5
2020-08-23,2,"None",5
2020-08-24,2,"None",7
2020-08-25,2,"None",5
2020-08-26,1,"None",5
2020-08-26,2,"None",5
2020-08-26,3,"None",5
2020-08-27,2,"None",5
2020-08-28,2,"None",12
2020-08-29,2,"None",5
2020-08-30,2,"None",6
2020-08-31,1,"None",5
2020-08-31,2,"None",7
2020-08-31,3,"None",5
2020-09-01,2,"None",5
2020-09-02,1,"None",5
2020-09-02,2,"None",13
2020-09-03,2,"None",9
2020-09-04,2,"None",5
2020-09-05,2,"None",5
2020-09-09,1,"None",5
2020-09-14,1,"None",5
2020-09-14,2,"None",5
2020-09-15,2,"None",5
2020-09-16,1,"None",5
2020-09-16,2,"None",5
2020-09-17,2,"None",5
2020-09-18,2,"None",7
2020-09-20,1,"None",5
2020-09-21,2,"None",12
2020-09-22,1,"None",5
2020-09-22,2,"None",11
2020-09-22,3,"None",5
2020-09-23,1,"None",5
2020-09-23,2,"None",9
2020-09-23,3,"None",5
2020-09-24,2,"None",7
2020-09-24,3,"None",5
2020-09-25,1,"None",5
2020-09-25,2,"None",5
2020-09-25,3,"None",5
2020-09-28,1,"None",5
2020-09-29,2,"None",5
2020-09-29,3,"None",5
2020-09-30,2,"None",5
2020-10-02,2,"None",5
2020-10-05,1,"None",5
2020-10-06,1,"None",5
2020-10-07,1,"None",5
2020-10-08,1,"None",5
2020-10-10,1,"None",5
2020-10-12,1,"None",5
2020-10-13,1,"None",5
2020-10-15,1,"None",5
2020-10-16,1,"None",5
2020-10-19,1,"None",5
2020-10-20,1,"None",5
2020-10-20,2,"None",5
2020-10-21,1,"None",5
2020-10-21,2,"None",5
2020-10-22,1,"None",5
2020-10-23,1,"None",5
2020-10-26,2,"None",5
2020-10-28,2,"None",5
2020-11-01,1,"None",5
2020-11-02,1,"None",5
2020-11-02,2,"None",5
2020-11-03,1,"None",5
2020-11-03,2,"None",5
2020-11-04,1,"None",5
2020-11-04,2,"None",5
2020-11-05,1,"None",5
2020-11-05,2,"None",5
2020-11-07,1,"None",5
2020-11-09,2,"None",5
2020-11-10,1,"None",5
2020-11-10,2,"None",5
2020-11-11,1,"None",5
2020-11-12,1,"None",5
2020-11-12,2,"None",5
2020-11-13,1,"None",5
2020-11-14,1,"None",5
2020-11-15,1,"None",5
2020-11-16,1,"None",5
2020-11-17,1,"None",5
2020-11-18,1,"None",5
2020-11-19,1,"None",6
2020-11-20,1,"None",6
2020-11-21,1,"None",5
2020-11-22,1,"None",5
2020-11-23,1,"None",6
2020-11-24,1,"None",5
2020-11-24,2,"None",5
2020-11-25,1,"None",5
2020-11-25,2,"None",5
2020-11-26,1,"None",10
2020-11-26,2,"None",5
2020-11-27,1,"None",12
2020-11-27,2,"None",5
2020-11-28,1,"None",5
2020-11-28,2,"None",5
2020-11-29,1,"None",5
2020-11-30,1,"None",8
2020-11-30,2,"None",5
2020-12-01,1,"None",13
2020-12-01,2,"None",5
2020-12-02,1,"None",5
2020-12-03,1,"None",5
2020-12-03,2,"None",5
2020-12-04,1,"None",5
2020-12-04,2,"None",5
2020-12-05,1,"None",5
2020-12-05,2,"None",5
2020-12-07,1,"None",32
2020-12-08,1,"None",924
2020-12-08,2,"None",5
2020-12-09,1,"None",1441
2020-12-09,2,"None",5
2020-12-09,3,"None",5
2020-12-10,1,"None",1683
2020-12-10,3,"None",5
2020-12-11,1,"None",1961
2020-12-12,1,"None",937
2020-12-12,2,"None",5
2020-12-12,3,"None",5
2020-12-13,1,"None",820
2020-12-14,1,"None",2220
2020-12-14,2,"None",5
2020-12-14,3,"None",5
2020-12-15,1,"None",2918
2020-12-15,2,"None",9
2020-12-15,3,"None",5
2020-12-16,1,"None",2674
2020-12-16,2,"None",5
2020-12-17,1,"None",2785
2020-12-17,2,"None",5
2020-12-18,1,"None",2741
