"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2023-10-02,3,"a_2023",6
2023-10-02,4,"a_2023",102
2023-10-02,5,"a_2023",3437
2023-10-02,6,"a_2023",702
2023-10-02,7,"a_2023",1752
2023-10-02,8,"a_2023",80
2023-10-02,9,"a_2023",5
2023-10-03,3,"a_2023",60
2023-10-03,4,"a_2023",402
2023-10-03,5,"a_2023",4619
2023-10-03,6,"a_2023",1197
2023-10-03,7,"a_2023",2656
2023-10-03,8,"a_2023",88
2023-10-04,3,"a_2023",11
2023-10-04,4,"a_2023",136
2023-10-04,5,"a_2023",4291
2023-10-04,6,"a_2023",993
2023-10-04,7,"a_2023",2219
2023-10-04,8,"a_2023",123
2023-10-05,3,"a_2023",16
2023-10-05,4,"a_2023",127
2023-10-05,5,"a_2023",3686
2023-10-05,6,"a_2023",853
2023-10-05,7,"a_2023",2047
2023-10-05,8,"a_2023",167
2023-10-06,3,"a_2023",12
2023-10-06,4,"a_2023",108
2023-10-06,5,"a_2023",3080
2023-10-06,6,"a_2023",683
2023-10-06,7,"a_2023",1793
2023-10-06,8,"a_2023",110
2023-10-07,3,"a_2023",27
2023-10-07,4,"a_2023",296
2023-10-07,5,"a_2023",6564
2023-10-07,6,"a_2023",2412
2023-10-07,7,"a_2023",4706
2023-10-07,8,"a_2023",200
2023-10-08,3,"a_2023",5
2023-10-08,4,"a_2023",27
2023-10-08,5,"a_2023",1185
2023-10-08,6,"a_2023",340
2023-10-08,7,"a_2023",1322
2023-10-08,8,"a_2023",48
2023-10-09,3,"a_2023",6
2023-10-09,4,"a_2023",102
2023-10-09,5,"a_2023",2079
2023-10-09,6,"a_2023",933
2023-10-09,7,"a_2023",2595
2023-10-09,8,"a_2023",235
2023-10-09,9,"a_2023",5
2023-10-10,3,"a_2023",51
2023-10-10,4,"a_2023",208
2023-10-10,5,"a_2023",3616
2023-10-10,6,"a_2023",1071
2023-10-10,7,"a_2023",2892
2023-10-10,8,"a_2023",204
2023-10-11,3,"a_2023",11
2023-10-11,4,"a_2023",130
2023-10-11,5,"a_2023",3168
2023-10-11,6,"a_2023",911
2023-10-11,7,"a_2023",2646
2023-10-11,8,"a_2023",144
2023-10-11,9,"a_2023",5
2023-10-12,3,"a_2023",10
2023-10-12,4,"a_2023",123
2023-10-12,5,"a_2023",3259
2023-10-12,6,"a_2023",902
2023-10-12,7,"a_2023",2605
2023-10-12,8,"a_2023",165
2023-10-13,3,"a_2023",13
2023-10-13,4,"a_2023",115
2023-10-13,5,"a_2023",3133
2023-10-13,6,"a_2023",890
2023-10-13,7,"a_2023",2411
2023-10-13,8,"a_2023",114
2023-10-14,3,"a_2023",8
2023-10-14,4,"a_2023",138
2023-10-14,5,"a_2023",3482
2023-10-14,6,"a_2023",914
2023-10-14,7,"a_2023",2825
2023-10-14,8,"a_2023",158
2023-10-15,3,"a_2023",5
2023-10-15,4,"a_2023",15
2023-10-15,5,"a_2023",648
2023-10-15,6,"a_2023",266
2023-10-15,7,"a_2023",1048
2023-10-15,8,"a_2023",59
2023-10-16,3,"a_2023",12
2023-10-16,4,"a_2023",68
2023-10-16,5,"a_2023",2177
2023-10-16,6,"a_2023",1142
2023-10-16,7,"a_2023",3553
2023-10-16,8,"a_2023",125
2023-10-17,3,"a_2023",18
2023-10-17,4,"a_2023",116
2023-10-17,5,"a_2023",2472
2023-10-17,6,"a_2023",1471
2023-10-17,7,"a_2023",4366
2023-10-17,8,"a_2023",184
2023-10-18,3,"a_2023",7
2023-10-18,4,"a_2023",113
2023-10-18,5,"a_2023",2515
2023-10-18,6,"a_2023",1306
2023-10-18,7,"a_2023",3872
2023-10-18,8,"a_2023",111
2023-10-19,3,"a_2023",8
2023-10-19,4,"a_2023",79
2023-10-19,5,"a_2023",2223
2023-10-19,6,"a_2023",946
2023-10-19,7,"a_2023",2991
2023-10-19,8,"a_2023",120
2023-10-19,9,"a_2023",5
2023-10-20,3,"a_2023",11
2023-10-20,4,"a_2023",81
2023-10-20,5,"a_2023",1613
2023-10-20,6,"a_2023",765
2023-10-20,7,"a_2023",2179
2023-10-20,8,"a_2023",83
2023-10-21,3,"a_2023",10
2023-10-21,4,"a_2023",124
2023-10-21,5,"a_2023",3001
2023-10-21,6,"a_2023",967
2023-10-21,7,"a_2023",2338
2023-10-21,8,"a_2023",133
2023-10-22,3,"a_2023",5
2023-10-22,4,"a_2023",25
2023-10-22,5,"a_2023",574
2023-10-22,6,"a_2023",298
2023-10-22,7,"a_2023",1220
2023-10-22,8,"a_2023",38
2023-10-23,3,"a_2023",10
2023-10-23,4,"a_2023",56
2023-10-23,5,"a_2023",1638
2023-10-23,6,"a_2023",1015
2023-10-23,7,"a_2023",3496
2023-10-23,8,"a_2023",118
2023-10-24,3,"a_2023",22
2023-10-24,4,"a_2023",156
2023-10-24,5,"a_2023",2988
2023-10-24,6,"a_2023",1433
2023-10-24,7,"a_2023",4317
2023-10-24,8,"a_2023",138
2023-10-25,3,"a_2023",11
2023-10-25,4,"a_2023",77
2023-10-25,5,"a_2023",2380
2023-10-25,6,"a_2023",958
2023-10-25,7,"a_2023",3092
2023-10-25,8,"a_2023",90
2023-10-26,3,"a_2023",18
2023-10-26,4,"a_2023",70
2023-10-26,5,"a_2023",2416
2023-10-26,6,"a_2023",1130
2023-10-26,7,"a_2023",3381
2023-10-26,8,"a_2023",99
2023-10-27,3,"a_2023",13
2023-10-27,4,"a_2023",70
2023-10-27,5,"a_2023",1639
2023-10-27,6,"a_2023",903
2023-10-27,7,"a_2023",2712
2023-10-27,8,"a_2023",67
2023-10-28,3,"a_2023",8
2023-10-28,4,"a_2023",53
2023-10-28,5,"a_2023",1124
2023-10-28,6,"a_2023",630
2023-10-28,7,"a_2023",1724
2023-10-28,8,"a_2023",63
2023-10-29,3,"a_2023",5
2023-10-29,4,"a_2023",13
2023-10-29,5,"a_2023",357
2023-10-29,6,"a_2023",205
2023-10-29,7,"a_2023",625
2023-10-29,8,"a_2023",26
2023-10-30,3,"a_2023",6
2023-10-30,4,"a_2023",61
2023-10-30,5,"a_2023",1351
2023-10-30,6,"a_2023",792
2023-10-30,7,"a_2023",2539
2023-10-30,8,"a_2023",83
2023-10-31,3,"a_2023",10
2023-10-31,4,"a_2023",53
2023-10-31,5,"a_2023",1399
2023-10-31,6,"a_2023",889
2023-10-31,7,"a_2023",2689
2023-10-31,8,"a_2023",90
2023-10-31,9,"a_2023",5
2023-11-01,3,"a_2023",10
2023-11-01,4,"a_2023",68
2023-11-01,5,"a_2023",1547
2023-11-01,6,"a_2023",748
2023-11-01,7,"a_2023",2398
2023-11-01,8,"a_2023",72
2023-11-02,3,"a_2023",10
2023-11-02,4,"a_2023",60
2023-11-02,5,"a_2023",1865
2023-11-02,6,"a_2023",850
2023-11-02,7,"a_2023",2643
2023-11-02,8,"a_2023",70
2023-11-02,9,"a_2023",5
2023-11-03,3,"a_2023",13
2023-11-03,4,"a_2023",68
2023-11-03,5,"a_2023",1412
2023-11-03,6,"a_2023",708
2023-11-03,7,"a_2023",2119
2023-11-03,8,"a_2023",76
